time,site,precip,rh,solrad,temp
1961-12-01,3812,,0.3627917059987159,0.0,6.7
1962-01-01,3812,,0.5616174111866129,0.0,1.7
1962-02-01,3812,,0.5833652338910921,0.0,1.7
1962-03-01,3812,,1.0,0.0,6.7
1962-04-01,3812,,1.0,0.0,12.2
1962-05-01,3812,,0.5900994139202066,0.0,23.3
1962-06-01,3812,,0.8364573895572344,0.0,20.0
1962-07-01,3812,,0.6136583219189994,0.0,23.3
1962-08-01,3812,,0.6372657053464545,0.0,25.0
1962-09-01,3812,,0.5913755992868873,0.0,23.9
1962-10-01,3812,,0.7141369458805336,0.0,13.3
1962-11-01,3812,,0.5708289911106837,0.0,5.6
1962-12-01,3812,,0.2593640209473883,0.0,12.2
1963-01-01,3812,,,0.0,
1963-02-01,3812,,,0.0,
1963-03-01,3812,,,0.0,
1963-04-01,3812,,,0.0,
1963-05-01,3812,,,0.0,
1963-06-01,3812,,,0.0,
1963-07-01,3812,,,0.0,
1963-08-01,3812,,,0.0,
1963-09-01,3812,,,0.0,
1963-10-01,3812,,,0.0,
1963-11-01,3812,,,0.0,
1963-12-01,3812,,,0.0,
1964-01-01,3812,,0.921569164365848,0.0,-2.2
1964-02-01,3812,,0.964768045744487,0.0,2.2
1964-03-01,3812,,0.4397714276869994,0.0,3.3
1964-04-01,3812,,0.3657548173728257,0.0,7.8
1964-05-01,3812,,0.35824659784977714,0.0,16.1
1964-06-01,3812,,0.562428928410437,0.0,19.4
1964-07-01,3812,,0.4391391452314038,0.0,23.9
1964-08-01,3812,,0.7589011996119697,0.0,23.3
1964-09-01,3812,,0.7038874093189926,0.0,23.9
1964-10-01,3812,0.0,0.9321370822960658,0.0,18.9
1964-11-01,3812,0.0,0.8914477257799892,0.0,11.1
1964-12-01,3812,0.0,0.6192614087170732,0.0,-7.2
1965-01-01,3812,,,0.0,
1965-02-01,3812,,,0.0,
1965-03-01,3812,,,0.0,
1965-04-01,3812,,,0.0,
1965-05-01,3812,,,0.0,
1965-06-01,3812,,,0.0,
1965-07-01,3812,,,0.0,
1965-08-01,3812,,,0.0,
1965-09-01,3812,,,0.0,
1965-10-01,3812,,,0.0,
1965-11-01,3812,,,0.0,
1965-12-01,3812,,,0.0,
1966-01-01,3812,,,0.0,
1966-02-01,3812,,,0.0,
1966-03-01,3812,,,0.0,
1966-04-01,3812,,,0.0,
1966-05-01,3812,,,0.0,
1966-06-01,3812,,,0.0,
1966-07-01,3812,,,0.0,
1966-08-01,3812,,,0.0,
1966-09-01,3812,,,0.0,
1966-10-01,3812,,,0.0,
1966-11-01,3812,,,0.0,
1966-12-01,3812,,,0.0,
1967-01-01,3812,0.0,1.0,0.0,2.2
1967-02-01,3812,0.0,0.6534557756439331,0.0,8.9
1967-03-01,3812,0.0,0.6634859214106585,0.0,-0.6
1967-04-01,3812,0.0,0.4505191360831586,0.0,15.0
1967-05-01,3812,0.0,0.4474704958526693,0.0,20.0
1967-06-01,3812,0.0,1.0,0.0,15.0
1967-07-01,3812,0.0,0.6610971523983906,0.0,24.4
1967-08-01,3812,0.0,0.7296268814625295,0.0,22.8
1967-09-01,3812,0.0,0.8111931431460053,0.0,21.1
1967-10-01,3812,0.0,0.7379080250050465,0.0,9.4
1967-11-01,3812,0.0,0.8914477257799892,0.0,11.1
1967-12-01,3812,0.0,0.7264637822566418,0.0,5.6
1968-01-01,3812,0.0,1.0,0.0,3.3
1968-02-01,3812,0.0,0.8307946198161543,0.0,9.4
1968-03-01,3812,0.0,0.6794704159163442,0.0,-5.6
1968-04-01,3812,0.0,0.9245408888997464,0.0,15.6
1968-05-01,3812,0.0,0.3274937977173383,0.0,19.4
1968-06-01,3812,0.0,0.5392154939146309,0.0,20.6
1968-07-01,3812,0.0,0.5415554409619173,0.0,29.4
1968-08-01,3812,0.0,0.8112524465920664,0.0,25.6
1968-09-01,3812,0.0,0.9680238038551032,0.0,16.1
1968-10-01,3812,0.0,0.6988909117722839,0.0,18.3
1968-11-01,3812,0.0,0.6641959028701548,0.0,14.4
1968-12-01,3812,0.0,0.7862462362668309,0.0,5.6
1969-01-01,3812,0.0,0.9259987112138228,0.0,6.1
1969-02-01,3812,0.0,0.8361487690410107,0.0,14.4
1969-03-01,3812,10.0,1.0,0.0,0.6
1969-04-01,3812,0.0,0.3405410507042095,0.0,9.4
1969-05-01,3812,0.0,0.35824659784977714,0.0,16.1
